Fármaco(s),Forma Farmacéutica,Concentración,Fracción (Art. 226 LGS),Denominación Distintiva,Registro Sanitario,Titular,Indicación terapéutica
"BROMHEXINA, Clorhidrato de/ OXELADINA, Citrato de",Jarabe,"0.060 g / 0.120 g /
100 mL",IV,FLUXEDAN,74547 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.","Mucolítico, Antitusivo."
BROMURO DE IPRATROPIO,Aerosol (Para inhalación),"0.374 mg
(11.22 g / 10 mL)",IV,ATROVENT,161M82 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.","Broncodilatador, rinitis vasomotora."
BROMURO DE IPRATROPIO,Solución (Para inhalación),0.226 mg / 1 mL,IV,SPIRIVA,034M2010 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.","Indicado como terapia de mantenimiento de los pacientes con Enfermedad Pulmonar Obstructiva Crónica (EPOC) (incluyendo la bronquitis crónica y el enfisema), la terapia de mantenimiento de la disnea asociada, la mejoría de la calidad de vida comprometida por la EPOC y para la reducción de las exacerbaciones. Para el tratamiento broncodilatador adicional de mantenimiento en pacientes de 6 años de edad en adelante con Asma quienes permanecen sintomáticos a pesar del tratamiento con al menos corticoesteroides para la mejoría de los síntomas y la reducción de las exacerbaciones."
BROMURO DE ACLIDINIO,Polvo (Para inhalación),400 mcg,IV,EKLIRA GENUAIR,156M2013 SSA,"ASTRAZENECA, S.A. DE C.V.",Para el tratamiento de la Enfermedad Pulmonar Obstructiva (EPOC) de moderada a severa. Como terapia de mantenimiento de la EPOC (incluidas la bronquitis crónica y enfisema).
"BROMURO DE IPRATROPIO
(monohidratado)",Solución (Para nebulización),"250 mcg / 1 mL,
250 mcg / 2 mL  y
500 mcg / 2 mL",IV,ATROVENT,189M97 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Broncodilatador.
"BROMURO DE IPRATROPIO
(monohidratado) /  FENOTEROL, Bromhidrato de",Aerosol (Para inhalación),0.394 mg  y  0.938 mg,IV,BERODUAL,023M86 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Broncodilatador.
"BROMURO DE IPRATROPIO
(monohidratado) / SALBUTAMOL, Sulfato de","Solución
(Para inhalación / Para nebulización)","Ampolleta: (0.5 mg / 2.5 mg) /
2.5 mL;
Cartucho: (1.68 mg / 8.77 mg) /
1 mL",IV,COMBIVENT,261M97 SSA,"BOEHRINGER INGELHEIM PROMECO,
S.A. DE C.V.",Broncodilatador.
BUDESONIDA,Suspensión (Nasal),"0.640 mg / 1 mL,
1.280 mg / 1mL",IV,RHINOCORT AQUA,270M98 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Tratamiento y profilaxis de las rinitis alérgicas estacionales, antiinflamatorio esteroideo."
BUDESONIDA,Suspensión (Para enema),2.3 mg / 115 mL,IV,ENTOCORT,610M98 SSA,"ESPECÍFICOS STENDHAL, S.A. DE C.V.","Colitis ulcerativa leve o moderada, proctitis."
BUDESONIDA,Suspensión (Para nebulización),"0.250 mg / 2 mL,
0.500 mg / 2 mL y",IV,PULMICORT,001M99 SSA,"ASTRAZENECA, S.A. DE C.V.","Terapia auxiliar del asma bronquial, antiinflamatorio esteroideo."
BUDESONIDA,Polvo (Para inhalación),"100 mcg, 200 mcg   y
400 mcg",IV,PULMICORT TURBUHALER,590M95 SSA,ASTRAZENECA AB,"Terapia auxiliar del asma bronquial, antiinflamatorio esteroideo. Enfermedad pulmonar obstructiva crónica."
BUDESONIDA,Cápsula (Liberación retardada),3 mg,IV,ENTOCORT,156M2000 SSA,"ESPECÍFICOS STENDHAL, S.A. DE C.V.",Enfermedad de Crohn leve y moderada (Íleon y Colón ascendente)
BUDESONIDA,Tableta (Liberación prolongada),9 mg,IV,CORTIMENT MMX,417M2015 SSA,"FERRING-LÉČIVA, A.S",Colitis ulcerativa leve o moderada.
"BUDESONIDA / FORMOTEROL,
fumarato de",Polvo (Para inhalación),"80 mcg / 4.5 mcg , 160 mcg /4.5 mcg  y 320 mcg /9.0 mcg",IV,SYMBICORT TURBUHALER,310M2001 SSA,ASTRAZENECA AB,"Terapia auxiliar del asma bronquial, broncodilatador, enfermedad pulmonar obstructiva crónica, antiinflamatorio esteroideo."
"BUDESONIDA / FORMOTEROL,
fumarato de",Aerosol (Para inhalación),"80 mcg / 4.5 mcg    y
160 mcg / 4.5 mcg",IV,VANNAIR,360M2008 SSA,"ASTRAZENECA, S.A. DE C.V.","Profiláctico del asma severo y exacerbaciones agudas.
Enfermedad pulmonar obstructiva crónica."
BUMETANIDA,Solución (Inyectable),0.50 mg / 2 mL,IV,MICCIL,029M80 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Diurético.
BUMETANIDA,Tableta,1 mg,IV,MICCIL,86174 SSA,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",Diurético.
"BUPIVACAINA, Clorhidrato de / GLUCOSA, Monohidratada",Solución (Inyectable),"5.0 mg / 80 mg / 1 mL    y
7.5 mg / 82.5 mg / 1mL",IV,BUVACAINA PESADA,230M94 SSA,"LABORATORIOS PISA, S.A. DE C.V.",Anestésico local.
BUPRENORFINA,Parche,"20 mg, 30 mg
y   40 mg",II,TRANSTEC,289M2006 SSA,GRÜNENTHAL GMBH,Analgésico narcótico.
BUPRENORFINA,Parche,"5 mg, 10 mg y 20 mg",II,SOLORO 7,238M2013 SSA,TECNANDINA S.A.,Analgésico narcótico.
BUSULFANO,Tableta,2 mg,IV,MYLERAN,50871 SSA,ASPEN PHARMA PTY LTD.,"Antineoplásico, indicado como tratamiento de acondicionamiento previo al trasplante de células troncales hematopoyéticas, paliativo de la fase crónica de la leucemia mielocítica crónica, policitemia vera, trombocitosis esencial y mielofibrosis."
"BUTENAFINA, Clorhidrato de",Solución,1 g / 100 mL,VI,DERFINA,026M2007 SSA,"LABORATORIOS GROSSMAN, S.A.",Antimicótico de aplicación cutánea.
CABERGOLINA,Tableta,0.5 mg,IV,DOSTINEX,373M99 SSA,"PFIZER, S.A. DE C.V.",Inhibidor de la lactación.
"CAFEÍNA / CLORFENAMINA,
Maleato de  /  FENILEFRINA, Clorhidrato de / PARACETAMOL",Tableta,"50 mg / 2 mg / 5 mg /
325 mg",VI,HISTIACIL FLU,50318 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común
"CAFEÍNA / FENILEFRINA,
Clorhidrato de / PARACETAMOL",Tableta,50 mg / 5 mg / 500 mg,VI,SEDALMERCK,3329 SSA,"PROCTER & GAMBLE MANUFACTURING MÉXICO,
S. DE R.L. DE C.V.",Auxiliar en el tratamiento sintomático del resfriado común.
CAFEÍNA / IBUPROFENO,Cápsula (Gelatina blanda),100 mg / 400 mg,IV,ACTRON PLUS,021M2006 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Medicamento útil en la cefalea vascular. Antimigrañoso.
CAFEÍNA / PARACETAMOL,Comprimido,50 mg / 500 mg,VI,SARIDON,16260 SSA,"BAYER DE MÉXICO, S.A. DE C.V.","Analgésico, antipirético."
"CALCIO, Carbonato de",Tableta (Masticable),500 mg  y  750 mg,VI,TUMS,159M94 SSA,"GLAXOSMITHKLINE CONSUMER HEALTHCARE MÉXICO, S. DE R.L. DE C.V.",Antiácido.
"CALCIO, Citrato de (tetrahidratado)",Tableta,"100 mg / 200 mg /
300 mg",VI,CALCIVAL,006M94 SSA,"LABORATORIOS VALDECASAS, S.A.","Para la prevención y tratamiento en los requerimientos aumentados de calcio, como el crecimiento, desarrollo, embarazo, lactancia y osteoporosis"
CALCIPOTRIOL,Ungüento,5 mg / 100 g,IV,DAIVONEX,358M95 SSA,LEO PHARMA A/S,Para el tratamiento de la psoriasis.
CALCIPOTRIOL / BETAMETASONA,Gel,"50 mcg / 0.50 mg /
1 g",IV,DAIVOBET GEL,116M2012 SSA,LEO PHARMA A/S,Tratamiento de la psoriasis vulgar.
"CALCIPOTRIOL /
BETAMETASONA, Dipropionato de",Ungüento,(5 mg / 50 mg) / 100 g,IV,DAIVOBET,341M2004 SSA,LEO PHARMA A/S,Tratamiento de la psoriasis vulgar.
CALCITONINA,Solución,2200 UI / 1 mL,IV,MIACALCIC,542M89 SSA,NOVARTIS PHARMA AG,Tratamiento y prevención de la Osteoporosis en mujeres postmenopáusicas.
CALCITRIOL,Cápsula,0.25 mcg,IV,ROCALTROL,341M80 SSA,"LABORATORIOS QUIMPHARMA,
S.A. DE C.V.",Tratamiento y prevención de la osteoporosis en mujeres postmenopáusicas. Hipocalcemia por insuficiencia renal.
CANDESARTAN CILEXETILO,Tableta,"8 mg, 16 mg
y  32 mg",IV,ATACAND,313M98 SSA,"ASTRAZENECA, S.A. DE C.V.","Tratamiento de la insuficiencia cardiaca, Antihipertensivo."
CANDESARTAN CILEXETILO / HIDROCLOROTIAZIDA,Tableta,"16 mg / 12.5 mg        y
32 mg / 12.5 mg",IV,ATACAND PLUS,401M2001 SSA,"ASTRAZENECA, S.A. DE C.V.",Antihipertensivo.
"CAOLÍN, coloidal / NEOMICINA, Sulfato de / PECTINA, cítrica anhidra",Tableta,280 mg/129 mg/30 mg,VI,TREDA,82212 SSA,"GRIMANN, S.A. DE C.V.",Antidiarreico.
CAPECITABINA,Tableta,500 mg,IV,XELODA,522M98 SSA,F. HOFFMANN - LA ROCHE LTD.,"Cáncer de mama metastásico, cáncer de colon y colorrectal metastásico y como tratamiento adyuvante, cáncer gástrico metastásico y como adyuvante tras la resección completa de adenocarcinoma gástrico etapa II y III."
CARBAMAZEPINA,Tableta (Liberación prolongada),200 mg  y  400 mg,IV,TEGRETOL LC,054M88 SSA,NOVARTIS PHARMA AG,"Para el tratamiento de la neuralgia al trigémino, anticonvulsivante."
CARBAMAZEPINA,Tableta (Masticable),100 mg,IV,NEUGERON,175M88 SSA,"ARMSTRONG LABORATORIOS DE MÉXICO,
S.A. DE C.V.",Antiepiléptico.
CARBAMAZEPINA,Suspensión,2 g / 100 mL,IV,TEGRETOL,76957 SSA,NOVARTIS PHARMA AG,"Tratamiento de la epilepsia, Trastorno bipolar, Síndrome de
Abstinencia al alcohol, Neuralgia del Trigémino, Neuralgia glosofaríngea, Neuropatía diabética, Diabetes Insípida Central."
CARBAMAZEPINA,Comprimido,200 mg y 400 mg,IV,TEGRETOL,64445 SSA,NOVARTIS PHARMA AG,Antiepiléptico.
"CARBAZOCROMO, Sulfonato sódico de /  MENADIONA, Bisulfito sódico de",Solución (Inyectable),"10 mg / 2 mL (ámpula 1) y
10 mg / 2 mL (ámpula 2)",IV,HEMOSIN K,64810 SSA,"GRIMANN, S.A. DE C.V.",Para el tratamiento de las deficiencias de vitamina K.
"CARBAZOCROMO, Sulfonato sódico de /  MENADIONA, Bisulfito sódico de",Tableta,25 mg / 5 mg,IV,HEMOSIN K ORAL,73269 SSA,"GRIMANN, S.A. DE C.V.",Antihemorrágico.
"CARBAZOCROMO, Sulfonato sódico de / MENADIONA, Bisulfito sódico de",Jarabe,100 mg / 30 mg / 100mL,IV,HEMOSIN-K,81944 SSA,"GRIMANN, S.A. DE C.V.",Auxiliar en el tratamiento de algunas hemorragias.
CARBETOCINA,Solución (Inyectable),100 mcg / 1 mL,IV,LONACTENE,393M2000 SSA,FERRING GMBH,Estimulante de la contractilidad uterina.
CARBIDOPA (monohidratada) / ENTACAPONA / LEVODOPA,Tableta,"12.5 mg/200 mg/50 mg; 25 mg/200 mg/100 mg;
37.5 mg/200 mg/150 mg; 50 mg/200 mg/200 mg;
18.75 mg/200 mg/75 mg y
31.25 mg/200 mg/125 mg",IV,STALEVO,499M2004 SSA,SANDOZ GMBH,Antiparkinsoniano.
CARBÓN ACTIVADO,Tableta,250 mg,VI,CARBOTURAL,246M2000 SSA,"LABORATORIOS GROSSMAN, S.A.",Antiflatulento.
CARISOPRODOL,Tableta,350 mg,III,SOMACID,572M96 SSA,"PRODUCTOS FARMACÉUTICOS COLLINS,
S.A. DE  C.V.",Relajante muscular.
"CARISOPRODOL / DICLOFENACO
Sódico",Tableta,200 mg / 50 mg,IV,DOLAREN,54803 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Antiinflamatorio no esteroideo con acción analgésica y antirreumática.
CARISOPRODOL / MELOXICAM,Tableta,"200 mg / 7.5 mg y
200 mg / 15 mg",IV,DORSAL,104M2005 SSA,"LABORATORIOS SILANES, S.A. DE C.V.","Antiinflamatorio no esteroideo, Relajante muscular."
CARVEDILOL,Tableta,6.25 mg  y  25 mg,IV,DILATREND,034M92 SSA,RUBIE PHARM ARZNEIMITTEL GMBH,"Hipertensión, angina de pecho, insuficiencia cardíaca y falla del ventrículo izquierdo posterior a infarto agudo al miocardio"
"CASPOFUNGINA, Acetato de",Solución (Inyectable),50 mg / 1.3 mL,IV,CANCIDAS,555M2000 SSA,MERCK SHARP & DOHME B.V.,Antimicótico.
CEFALEXINA (monohidratada),Tableta,500 mg  y  1000 mg,IV,KEFLEX,72727 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Antibiótico (Cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CEFALEXINA (monohidratada),Suspensión,125 mg / 5 mL,IV,KEFLEX PEDIATRICO,74187 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Antibiótico (Cefalosporina).
CEFALEXINA (monohidratada),Suspensión,5 g / 100 mL,IV,KEFLEX LIQUIDO,83119 SSA,"EUROFARMA LABORATÓRIOS, S.A.",Antibiótico (Cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
"CEFALEXINA /
BROMHEXINA, Clorhidrato de",Cápsula,500 mg / 8.782 mg,IV,MUCOCEF,193M98 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.",Antibiótico. Mucolítico.
CEFIXIMA,Suspensión,100 mg / 5 mL,IV,DENVAR,184M94 SSA,"MERCK, S.A. DE C.V.",Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CEFIXIMA,Cápsula,200 mg  y  400 mg,IV,DENVAR,025M93 SSA,"MERCK, S.A. DE C.V.",Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
"CEFPODOXIMA
(proxetil-cefpodoxima)",Comprimido,200 mg,IV,ORELOX,181M92 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
"CEFPODOXIMA
(proxetil-cefpodoxima)",Suspensión,40 mg / 5 mL,IV,ORELOX,172M93 SSA,"DINAFARMA, S.A. DE C.V.",Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CEFTAZIDIMA (pentahidratado),Solución (Inyectable),1 g / 3 mL,IV,FORTUM,156M87 SSA,SANDOZ GMBH,Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CEFTIBUTENO,Suspensión,36 mg / 1 mL,IV,CEDAX,019M94 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CEFTIBUTENO,Cápsula,400 mg,IV,CEDAX,020M94 SSA,"GRIMANN, S.A. DE C.V.",Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CEFTOLOZANO / TAZOBACTAM,Solución (Inyectable),1000 mg / 500 mg,IV,ZERBAXA,023M2017 SSA,MERCK SHARP & DOHME B.V.,"Para el tratamiento de infecciones intraabdominales complicadas en combinación con metronidazol causadas por microorganismos Gram (-) y Gram (+) susceptibles. Para el tratamiento de infecciones de tracto urinario complicadas incluyendo pielonefritis, con o sin bacteriemia concurrente, causadas por microorganismos Gram (-) susceptibles.
Neumonía adquirida en el hospital (NAH), incluída neumonía asociada a la ventilación mecánica (NAVM)."
CEFTRIAXONA disódica (hemiheptahidratada),Solución (Inyectable),500 mg  y  1 g,IV,TERBAC I.V.,343M95 SSA,"SERRAL, S.A. DE C.V.",Antibiótico (Cefalosporina) para infecciones causadas por gérmenes susceptibles.
CEFUROXIMA Sódica,Solución (Inyectable),750 mg / 3 mL,IV,ZINNAT,0116M80 SSA,SANDOZ GMBH,Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
"CEFUROXIMA, Acetil",Suspensión,"125 mg / 5 mL  y
250 mg / 5 mL",IV,ZINNAT,413M90 SSA,SANDOZ GMBH,Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
"CEFUROXIMA, Acetoxietil de",Tableta,250 mg  y  500 mg,IV,ZINNAT,021M89 SSA,SANDOZ GMBH,Antibiótico (cefalosporina) para infecciones ocasionadas por gérmenes susceptibles.
CELECOXIB,Cápsula,"100 mg, 200 mg  y
400 mg",IV,CELEBREX,031M99 SSA,"PFIZER, S.A. DE C.V.",Antirreumático. Antiinflamatorio con acción analgésica. Dolor de espalda baja.
"CETIRIZINA, Diclorhidrato de",Solución,1 mg / mL   y 10 mg / mL,VI,VIRLIX,174M93 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Antihistamínico.
"CETIRIZINA, Diclorhidrato de",Tableta,10 mg,VI,VIRLIX,130M91 SSA,"PRODUCTOS FARMACÉUTICOS, S.A. DE C.V.",Antihistamínico.
"CETRORELIX, Acetato de",Solución (Inyectable),0.25 mg / 1 mL,IV,CETROTIDE,519M2001 SSA,"MERCK, S.A. DE C.V.",Análogo sintético de la hormona liberadora de gonadotropinas
"CIANOCOBALAMINA / KETOPROFENO / PIRIDOXINA,
Clorhidrato de / TIAMINA, Mononitrato de",Tableta,"5 mg / 100 mg /
41.250 mg / 92.030 mg",IV,DOLO-BEDOYECTA,420M2004 SSA,"LABORATORIOS GROSSMAN, S.A.","Analgésico, Antiinflamatorio y Antineurítico."
"CIANOCOBALAMINA /
CIPROHEPTADINA, Clorhidrato de",Solución,66 mcg / mL - 0.042 g / 100 mL,IV,CIPROLISINA,74769 SSA,"PRODUCTOS CIENTÍFICOS, S.A. DE C.V.",Orexigénico no esteroideo.
"CIANOCOBALAMINA / DICLOFENACO SÓDICO /
PIRIDOXINA, Clorhidrato de / TIAMINA, Mononitrato de",Tableta,0.25mg/50mg/ 50mg/ 50mg,V,DOLO-NEUROBION,79799 SSA,"PROCTER & GAMBLE MANUFACTURING MÉXICO,
S. DE R.L. DE C.V.","Para el alivio del dolor e inflamación de: músculos, articulaciones y de las fibras nerviosas del cuerpo. Dolores provocados por golpes, torceduras y caídas, dolor de espalda baja, cuello y aquellos causados por contracturas o mala postura."
"CIANOCOBALAMINA /
DICLOFENACO sódico
/PIRIDOXINA, Clorhidrato de
/TIAMINA, Mononitrato de",Tableta,1 mg/50 mg/50 mg/ 50 mg,IV,DOLO-NEUROBION FORTE,85069 SSA,"PROCTER & GAMBLE MANUFACTURING MÉXICO,
S. DE R.L. DE C.V.","Antineurítico, antiinflamatorio con acción analgésica."
"CIANOCOBALAMINA/
DEXAMETASONA, Fosfato de/ LIDOCAÍNA, Clorhidrato de/ PIRIDOXINA, Clorhidrato de/ TIAMINA, Clorhidrato de",Solución (Inyectable),"5 mg / 4 mg / 30 mg /
100 mg / 100 mg",IV,DEXABION,89399 SSA,"PROCTER & GAMBLE MANUFACTURING MÉXICO,
S. DE R.L. DE C.V.","Antineurítico, antiinflamatorio esteroideo."
CICLESONIDA,Aerosol (Para inhalación),"0.840 mg / 1 g (equivalente a 50 mcg / dosis);
1.690 mg / 1 g (equivalente a 100 mcgg / dosis)
y
3.370 mg / 1 g (equivalente a 200 mcgg / dosis)",IV,ALVESCO,456M2004 SSA,KINDEVA DRUG DELIVERY LIMITED,"Enfermedad Pulmonar Crónica como bronquitis crónica, enfisema o enfermedad obstructiva crónica (EPOC). Asma."
CICLESONIDA (Micronizado),Suspensión,0.714 mg / 1 mL (equivale a 50 mcg / dosis),IV,OMNARIS,128M2009 SSA,KINDEVA DRUG DELIVERY LIMITED,Rinitis alérgica estacional y perenne.
"CICLOBENZAPRINA, Clorhidrato de",Cápsula,5 mg  y  10 mg,IV,YURELAX,254M2000 SSA,"LABORATORIOS GROSSMAN, S.A.",Relajante Muscular.
"CICLOPENTOLATO, Clorhidrato de",Solución,"5 mg / 1 mL y
10 mg / 1 mL",III,REFRACTYL OFTENO,60010 SSA,"LABORATORIOS SOPHIA, S.A. DE C.V.",Midriático y ciclopléjico.
CICLOSPORINA,Solución (Inyectable),"50 mg / 1 mL y
250 mg / 5 mL",IV,SANDIMMUN,099M84 SSA,NOVARTIS PHARMA AG,Inmunosupresor.
CICLOSPORINA,Emulsión,0.05%,IV,RESTASIS,484M2003 SSA,ABBVIE INC.,"Antiinflamatorio de uso oftálmico, inmunomodulador."
CICLOSPORINA,Emulsión,100 mg / 1 mL,IV,SANDIMMUN NEORAL,106M84 SSA,NOVARTIS PHARMA AG,Inmunosupresor.
CICLOSPORINA A,Cápsula,"10 mg, 25 mg,
50 mg  y  100 mg",IV,SANDIMMUN NEORAL,223M90 SSA,NOVARTIS PHARMA AG,Inmunosupresor.
CILOSTAZOL,Tableta,100 mg,IV,CAUDALINE,373M2006 SSA,"MERCK, S.A. DE C.V.",Antitrombótico.
"CINACALCET, Clorhidrato de",Tableta,"30 mg,  60 mg   y
90 mg",IV,MIMPARA,213M2011 SSA,AMGEN INC.,Para el tratamiento del hipertiroidismo y los trastornos del metabolismo del calcio.
CINARIZINA,Tableta,75 mg,IV,STUGERON FORTE,84564 SSA,"JANSSEN-CILAG, S.A. DE C.V.",Vasodilatador cerebral.
CINARIZINA / DIMENHIDRINATO,Tableta,20 mg / 40 mg,IV,ARLEVERT,283M2015 SSA,HENNIG ARZNEIMITTEL GMBH  & Co. KG,Tratamiento de los síntomas agudos de vértigo de origen periférico en adultos.
"CINCOCAÍNA, Clorhidrato de / POLICRESULENO",Ungüento,1 g / 5 g / 100 g,VI,PROCTOACID,90172 SSA,"TAKEDA MÉXICO, S.A. DE C.V.",Antihemorroidal.
"CINITAPRIDA, Bitartrato de",Granulado,1 mg,IV,PEMIX,404M2000 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Estimulante de la motilidad gastrointestinal.
"CINITAPRIDA, Bitartrato de",Jarabe,20 mg / 100 mL,IV,PEMIX,167M2002 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Estimulante de la motilidad gastrointestinal.
"CINITAPRIDA, Bitartrato de",Tableta,1 mg,IV,PEMIX,403M2000 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.",Estimulante de la motilidad gastrointestinal.
CIPROFIBRATO,Cápsula,100 mg,IV,OROXADIN,296M92 SSA,"SANOFI-AVENTIS DE MÉXICO, S.A. DE C.V.",Hipolipemiante.
CIPROFLOXACINO,Tableta,250 mg  y  500 mg,IV,CIPROXINA,261M87 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles.
CIPROFLOXACINO,Solución (Inyectable),400 mg /200 mL,IV,CIPROXINA,038M90 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antimicrobiano (quinolona) para infecciones ocasionadas por gérmenes sensibles.
CIPROFLOXACINO,Suspensión,250 mg / 5mL,IV,CIPROXINA,280M98 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antimicrobiano (quinolona).
"CIPROFLOXACINO, Clorhidrato de / FENAZOPIRIDINA, Clorhidrato de",Tableta,500 mg / 100 mg,IV,VODELAN,242M2004 SSA,"SIEGFRIED RHEIN, S.A. DE C.V.","Tratamiento de infecciones urinarias, con acción bactericida contra bacterias Gram positiva y Gram negativa susceptibles."
"CIPROFLOXACINO, Clorhidrato de / HIDROCORTISONA / LIDOCAÍNA,
Clorhidrato de",Suspensión,2mg / 10 mg / 50 mg / 1 mL,IV,OTO ENI,256M2000 SSA,"LABORATORIOS GROSSMAN, S.A.","Antimicrobiano ótico, Analgésico ótico."
"CIPROTERONA, Acetato de",Tableta,50 mg,IV,ANDROCUR,341M79 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antiandrógeno oral.
"CIPROTERONA, Acetato de / ESTRADIOL, Valerato de",Tableta,1 mg / 2 mg,IV,CLIMENE,187M92 SSA,"ASOFARMA DE MÉXICO, S.A. DE C.V.",Terapia de reemplazo hormonal.
"CIPROTERONA, Acetato de / ETINILESTRADIOL",Tableta,2 mg / 0.035 mg,IV,DIANE,081M80 SSA,"BAYER DE MÉXICO, S.A. DE C.V.",Antiandrógeno oral.
"CITALOPRAM, Bromhidrato de",Tableta,20 mg,IV,SEROPRAM,572M95 SSA,H. LUNDBECK A/S,Antidepresivo.
CITARABINA,Solución (Inyectable),500 mg,IV,CYTOSAR-U,74316 SSA,"PFIZER, S.A. DE C.V.",Antineoplásico.
CITICOLINA SÓDICA,Solución (Inyectable),1000 mg / 4 mL,IV,SOMAZINA,344M2003 SSA,"FERRER INTERNACIONAL, S.A.",Vasodilatador cerebral.
CITICOLINA SÓDICA,Comprimido,500 mg,IV,SOMAZINA,508M2003 SSA,"FERRER INTERNACIONAL, S.A.",Vasodilatador cerebral.
CITIDIN 5'-Monofosfato disódico / URIDIN 5'-Trifosfato trisódico,Solución (Inyectable),"(10 mg / 6 mg) /
2 mL",IV,NÚCLEO CMP,82920 SSA,"FERRER INTERNACIONAL, S.A.",Antineurítico.
CITIDIN 5'-Monofosfato disódico / URIDIN 5'-Trifosfato trisódico,Cápsula,5 mg / 3 mg,IV,NÚCLEO CMP FORTE,83301 SSA,"FERRER INTERNACIONAL, S.A.",Auxiliar en las neuropatías periféricas.
CITRATO DE SODIO / LAURILSULFATO,Suspensión (Para enema),90 mg / 9 mg,IV,MICROLAX,60013 SSA,"JANSSEN-CILAG, S.A. DE C.V.","Auxiliar en el alivio del estreñimiento transitorio y ocasional, e impactación fecal. Prepraración para exámenes de rayos X y rectoscopía."
CLARITROMICINA,Tableta (Liberación prolongada),500 mg,IV,KLARICID O. D.,350M97 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
CLARITROMICINA,Suspensión,125mg / 5 mL   y 250 mg / 5 mL,IV,KLARICID  12H,086M91 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
CLARITROMICINA,Tableta,500 mg,IV,KLARICID HP,335M93 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
"CLARITROMICINA, Lactobionato de",Solución (Inyectable),500 mg / 10 mL,IV,KLARICID I. V.,239M94 SSA,"ABBOTT LABORATORIES DE MÉXICO,
S.A. DE C.V.",Antibiótico (macrólido) para infecciones ocasionadas por gérmenes sensibles.
"CLEBOPRIDA, Malato ácido de",Solución,6.25 mg / 100 mL,IV,EBORIX,503M2003 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.","Estimulante de la motilidad gastrointestinal, procinético."
"CLEBOPRIDA, Malato ácido de",Comprimido,500 mcg,IV,EBORIX,228M2006 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.","Procinético, Antiemético."
"CLEBOPRIDA, Malato ácido de / SIMETICONA",Cápsula,0.5 mg / 200 mg,IV,DIMOFLAX,413M2003 SSA,"INDUSTRIAS FARMACÉUTICAS ALMIRALL, S.A.","Antiespasmódico, antiflatulento, antiemético."
"CLINDAMICINA, Clorhidrato de",Cápsula,300 mg,IV,DALACIN C,76372 SSA,"PFIZER, S.A. DE C.V.",Antibiótico para infecciones ocasionadas por bacterias susceptibles.
