CATALOG_KEY,PRO_NOMBRE
3406,DRENAJE DE CAVIDAD PLEURAL POR TORACOSCOPÍA
3409,OTRA INCISIÓN DE PLEURA
340A,SELLO DE AGUA
341,INCISIÓN DE MEDIASTINO
341X,INCISIÓN DE MEDIASTINO
342,"PROCEDIMIENTOS DIAGNÓSTICOS SOBRE PARED TORÁCICA, PLEURA, MEDIASTINO Y DIAFRAGMA"
3420,BIOPSIA PLEURAL POR TORACOSCOPÍA
3421,TORACOSCOPÍA TRANSPLEURAL
3422,MEDIASTINOSCOPÍA
3423,BIOPSIA DE PARED TORÁCICA
3424,OTRA BIOPSIA PLEURAL
3425,BIOPSIA CERRADA [AGUJA] [PERCUTÁNEA] DE MEDIASTINO
3426,BIOPSIA ABIERTA DE MEDIASTINO
3427,BIOPSIA DE DIAFRAGMA
3428,"OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE LA PARED TORÁCICA, PLEURA Y DIAFRAGMA"
3429,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE MEDIASTINO
343,EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DE MEDIASTINO
343X,EXCISIÓN O DESTRUCCIÓN DE LESIÓN O TEJIDO DE MEDIASTINO
344,EXCISIÓN O DESTRUCCIÓN DE LESIÓN DE PARED TORÁCICA
344X,EXCISIÓN O DESTRUCCIÓN DE LESIÓN DE PARED TORÁCICA
345,PLEURECTOMÍA
3451,DECORTICACIÓN DE PULMÓN
3452,DECORTICACIÓN DE PULMÓN POR TORACOSCOPÍA
3459,OTROS EXCISIÓN DE PLEURA
346,ESCARIFICACIÓN DE PLEURA
346X,ESCARIFICACIÓN DE PLEURA
347,REPARACIÓN DE PARED TORÁCICA
3471,SUTURA DE LACERACIÓN DE PARED TORÁCICA
3472,CIERRE DE TORACOSTOMÍA
3473,CIERRE DE OTRA FÍSTULA DE TÓRAX
3474,REPARACIÓN DE DEFORMIDAD DE PECTUS
3479,OTRA REPARACIÓN SOBRE PARED TORÁCICA
348,OPERACIONES EN DIAFRAGMA
3481,EXCISIÓN DE LESIÓN O TEJIDO DE DIAFRAGMA
3482,SUTURA DE LACERACIÓN DE DIAFRAGMA
3483,CIERRE DE FÍSTULA DE DIAFRAGMA
3484,OTRA REPARACIÓN DE DIAFRAGMA
3485,IMPLANTACIÓN DE MARCAPASOS DIAFRAGMÁTICO
3489,OTRAS OPERACIONES SOBRE DIAFRAGMA
349,OTRAS OPERACIONES SOBRE TÓRAX
3491,TORACOCENTESIS
3492,INYECCIÓN EN LA CAVIDAD TORÁCICA
3493,REPARACIÓN DE PLEURA
3499,OTRA OPERACIÓN SOBRE TÓRAX
0,OPERACIONES SOBRE EL APARATO CARDIOVASCULAR (35 - 39)
35,OPERACIONES SOBRE VÁLVULAS Y TABIQUES DEL CORAZÓN
350,VALVULOTOMÍA CARDÍACA CERRADA
3500,"VALVULOTOMÍA CARDÍACA CERRADA, VÁLVULA NO ESPECIFICADA"
3501,"VALVULOTOMÍA CARDÍACA CERRADA, VÁLVULA AÓRTICA"
3502,"VALVULOTOMÍA CARDÍACA CERRADA, VÁLVULA MITRAL"
3503,"VALVULOTOMÍA CARDÍACA CERRADA, VÁLVULA PULMONAR"
3504,"VALVULOTOMÍA CARDÍACA CERRADA, VÁLVULA TRICÚSPIDE"
351,VALVULOPLASTIA CARDIACA ABIERTA SIN SUSTITUCIÓN VALVULAR
3510,"VALVULOPLASTIA CARDÍACA ABIERTA SIN SUSTITUCIÓN, VÁLVULA NO ESPECIFICADA"
3511,VALVULOPLASTIA CARDÍACA ABIERTA DE VÁLVULA AÓRTICA SIN SUSTITUCIÓN
3512,VALVULOPLASTIA CARDÍACA ABIERTA DE VÁLVULA MITRAL SIN SUSTITUCIÓN
3513,VALVULOPLASTIA CARDIACA ABIERTA DE VÁLVULA PULMONAR SIN SUSTITUCIÓN
3514,VALVULOPLASTIA CARDIACA ABIERTA DE VÁLVULA TRICÚSPIDE SIN SUSTITUCIÓN
352,SUSTITUCIÓN DE VÁLVULA CARDIACA
3520,SUSTITUCIÓN DE VÁLVULA CARDIACA NO ESPECIFICADA
3521,SUSTITUCIÓN DE VÁLVULA AÓRTICA CON INJERTO DE TEJIDO
3522,OTRA SUSTITUCIÓN DE VÁLVULA AÓRTICA
3523,SUSTITUCIÓN DE VÁLVULA MITRAL CON INJERTO DE TEJIDO
3524,OTRA SUSTITUCIÓN DE VÁLVULA MITRAL
3525,SUSTITUCIÓN DE VÁLVULA PULMONAR CON INJERTO DE TEJIDO
3526,OTRA SUSTITUCIÓN DE VÁLVULA PULMONAR
3527,SUSTITUCIÓN DE VÁLVULA TRICÚSPIDE CON INJERTO DE TEJIDO
3528,OTRA SUSTITUCIÓN DE VÁLVULA TRICÚSPIDE
353,OPERACIONES SOBRE ESTRUCTURAS ADYACENTES A LAS VÁLVULAS CARDIACAS
3531,OPERACIONES SOBRE MÚSCULO PAPILAR
3532,OPERACIONES SOBRE CUERDAS TENDINOSAS
3533,ANULOPLASTIA
3534,INFUNDIBULECTOMÍA
3535,OPERACIONES SOBRE TRABÉCULAS DEL CORAZÓN
3539,OPERACIONES SOBRE OTRAS ESTRUCTURAS ADYACENTES A LAS VÁLVULAS CARDIACAS
354,PRODUCCIÓN DE DEFECTO DE TABIQUE EN EL CORAZÓN
3541,AMPLIACIÓN DE DEFECTO EXISTENTE EN TABIQUE INTERAURICULAR
3542,CREACIÓN DE DEFECTO DE TABIQUE EN EL CORAZÓN
355,REPARACIÓN DE TABIQUES INTERAURICULAR E INTERVENTRICULAR CON PRÓTESIS
3550,REPARACIÓN DE DEFECTO NO ESPECIFICADO DE TABIQUES CARDÍACOS CON PRÓTESIS
3551,"REPARACIÓN DE DEFECTO DE TABIQUE INTERAURICULAR CON PRÓTESIS, TÉCNICA ABIERTA"
3552,"REPARACIÓN DE DEFECTO DE TABIQUE INTERAURICULAR CON PRÓTESIS, TÉCNICA CERRADA"
3553,"REPARACIÓN DE DEFECTO DE TABIQUE INTERVENTRICULAR CON PRÓTESIS, TÉCNICA ABIERTA"
3554,REPARACIÓN DE DEFECTO DE COJINES ENDOCÁRDICOS CON PRÓTESIS
3555,"REPARACIÓN DE DEFECTO DE TABIQUE INTERVENTRICULAR CON PRÓTESIS, TÉCNICA CERRADA"
356,REPARACIÓN DE TABIQUES INTERAURICULAR E INTERVENTRICULAR CON INJERTO DE TEJIDO
3560,REPARACIÓN DE DEFECTO DE TABIQUE CARDÍACO NO ESPECIFICADO CON INJERTO DE TEJIDO
3561,REPARACIÓN DE DEFECTO DE TABIQUE INTERAURICULAR CON INJERTO DE TEJIDO
3562,REPARACIÓN DE DEFECTO DE TABIQUE INTERVENTRICULAR CON INJERTO DE TEJIDO
3563,REPARACIÓN DE DEFECTO DE COJINES ENDOCÁRDICOS CON INJERTO DE TEJIDO
357,OTRA REPARACIÓN NO ESPECIFICADA DEL TABIQUE INTERAURICULAR E INTERVENTRICULAR
3570,OTRA REPARACIÓN NO ESPECIFICADA DE DEFECTOS DE TABIQUES CARDÍACOS
3571,OTRA REPARACIÓN NO ESPECIFICADA DE TABIQUE INTERAURICULAR
3572,OTRA REPARACIÓN NO ESPECIFICADA DE TABIQUE INTERVENTRICULAR
3573,OTRA REPARACIÓN NO ESPECIFICADA DE DEFECTO DE COJINES ENDOCÁRDICOS
358,REPARACIÓN TOTAL DE CIERTAS ANOMALÍAS CARDIACAS CONGÉNITAS
3581,REPARACIÓN TOTAL DE TETRALOGÍA DE FALLOT
3582,REPARACIÓN COMPLETA DE DRENAJE VENOSO PULMONAR ANÓMALO TOTAL
3583,REPARACIÓN TOTAL DE TRONCO ARTERIOSO
3584,"CORRECCIÓN TOTAL O TRANSPOSICIÓN DE GRANDES VASOS, NO CLASIFICADA BAJO OTRO CONCEPTO"
359,OTRAS OPERACIONES SOBRE VÁLVULAS Y TABIQUES CARDIACOS
3591,TRANSPOSICIÓN INTERAURICULAR DEL RETORNO VENOSO
3592,CREACIÓN DE CONDUCTO ENTRE EL VENTRÍCULO DERECHO Y LA ARTERIA PULMONAR
3593,CREACIÓN DE CONDUCTO ENTRE EL VENTRÍCULO IZQUIERDO Y LA AORTA
3594,CREACIÓN DE CONDUCTO ENTRE AURÍCULA Y ARTERIA PULMONAR
3595,REVISIÓN DE PROCEDIMIENTO CORRECTIVO SOBRE EL CORAZÓN
3596,VALVULOPLASTIA PERCUTÁNEA
3598,OTRAS OPERACIONES SOBRE TABIQUES CARDÍACOS
3599,OTRAS OPERACIONES SOBRE VÁLVULAS CARDÍACAS
36,OPERACIONES SOBRE VASOS CARDIACOS
360,"ELIMINACIÓN DE ESTENOSIS ARTERIAL CORONARIA CON O SIN IMPLANTE DE PRÓTESIS INTRACORONARIA(S) ""STENT""(S)"
3603,ANGIOPLASTIA DE ARTERIA CORONARIA A TÓRAX ABIERTO
3604,INFUSIÓN ARTERIAL INTRACORONARIA DE TROMBOLÍTICO
3606,INSERCIÓN DE STENT(S) NO LIBERADOR DE FÁRMACOS EN ARTERIA CORONARIA
3607,INSERCIÓN DE STENT(S) LIBERADOR (ES) DE FÁRMACOS EN ARTERIA CORONARIA
3609,OTRA ELIMINACIÓN DE OBSTRUCCIÓN DE ARTERIA CORONARIA
361,ANASTOMOSIS DE DERIVACIÓN PARA REVASCULARIZACIÓN MIOCÁRDICA
3610,"DERIVACIÓN AORTOCORONARIA PARA REVASCULARIZACIÓN MIOCÁRDICA, NO ESPECIFICADA DE OTRA MANERA"
3611,DERIVACIÓN (AORTO) CORONARIA DE UNA ARTERIA CORONARIA
3612,DERIVACIÓN (AORTO) CORONARIA DE DOS ARTERIAS CORONARIAS
3613,DERIVACIÓN (AORTO) CORONARIA DE TRES ARTERIAS CORONARIAS
3614,DERIVACIÓN (AORTO) CORONARIA DE CUATRO O MÁS ARTERIAS CORONARIAS
3615,ANASTOMOSIS SIMPLE DE ARTERIA MAMARIA INTERNA-ARTERIA CORONARIA
3616,ANASTOMOSIS DOBLE DE ARTERIA MAMARIA INTERNA-ARTERIA CORONARIA
3617,ANASTOMOSIS DE LA ARTERIA CORONARIA ABDOMINAL
3619,OTRAS ANASTOMOSIS DE DERIVACIÓN PARA REVASCULARIZACIÓN MIOCÁRDICA
362,REVASCULARIZACIÓN CARDIACA POR IMPLANTACIÓN ARTERIAL
362X,REVASCULARIZACIÓN CARDÍACA POR IMPLANTACIÓN ARTERIAL
363,OTRA REVASCULARIZACIÓN CARDÍACA
3631,REVASCULARIZACIÓN TRANSMIOCÁRDIACA CON TORAX ABIERTO
3632,OTRA REVASCULARIZACIÓN TRANSMIOCÁRDICA
3633,REVASCULARIZACIÓN TRANSMIOCÁRDICA ENDOSCÓPICA
3634,REVASCULARIZACIÓN TRANSMIOCÁRDICA PERCUTÁNEA
3639,OTRA REVASCULARIZACIÓN DEL CORAZÓN
369,OTRAS OPERACIONES SOBRE VASOS CARDIACOS
3691,REPARACIÓN DE ANEURISMA DE VASO CORONARIO
3699,OTRAS OPERACIONES SOBRE VASOS CARDÍACOS
37,OTRAS OPERACIONES SOBRE CORAZÓN Y PERICARDIO
370,PERICARDIOCENTESIS
370X,PERICARDIOCENTESIS
371,CARDIOTOMÍA Y PERICARDIOTOMÍA
3710,"INCISIÓN DE CORAZÓN, NO ESPECIFICADO DE OTRA MANERA"
3711,CARDIOTOMÍA
3712,PERICARDIOTOMÍA
372,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE CORAZÓN Y PERICARDIO
3720,ESTIMULACIÓN ELÉCTRICA PROGRAMADA NO INVASIVA [EEPNI] [NIPS]
3721,CATETERISMO CARDÍACO DEL LADO DERECHO DEL CORAZÓN
3722,CATETERISMO CARDÍACO DEL LADO IZQUIERDO DEL CORAZÓN
3723,CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQUIERDO DEL CORAZÓN
3724,BIOPSIA DE PERICARDIO
3725,BIOPSIA DE CORAZÓN
3726,ESTUDIO ELECTROFISIOLÓGICO INVASIVO POR CATÉTER (CORAZÓN Y PERICARDIO)
3727,MAPEO CARDIACO
3728,ECOCARDIOGRAFIA INTRACARDÍACA
3729,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE CORAZÓN Y PERICARDIO
373,PERICARDIECTOMÍA Y EXCISIÓN DE LESIÓN DE CORAZÓN
3731,PERICARDIECTOMÍA
3732,EXCISIÓN DE ANEURISMA DE CORAZÓN
3733,EXCISIÓN O DESTRUCCIÓN DE OTRA LESIÓN O TEJIDO CARDÍACO POR VÍA ABIERTA
3734,"EXCISIÓN O DESTRUCCIÓN DE OTRA LESIÓN O TEJIDOS DEL CORAZÓN, OTRO ACCESO"
3735,VENTRICULECTOMÍA PARCIAL
3736,EXCISIÓN O DESTRUCCIÓN DE APÉNDICE DE AURÍCULA IZQUIERDA [LAA]
374,REPARACIÓN DE CORAZÓN Y PERICARDIO
3741,IMPLANTACIÓN DE DISPOSITIVO PROTÉSICO DE ASISTENCIA CARDIACA ALREDEDOR DEL CORAZÓN
3749,OTRA REPARACIÓN DE CORAZÓN Y PERICARDIO
375,PROCEDIMIENTOS DE SUSTITUCIÓN CARDÍACA
3751,TRASPLANTE CARDÍACO
3752,IMPLANTACIÓN DE SISTEMA TOTAL DE REEMPLAZO CARDÍACO INTERNO BIVENTRICULAR
3753,REEMPLAZO O REPARACIÓN DE LA UNIDAD TORÁCICA DEL SISTEMA DE REEMPLAZO CARDÍACO (TOTAL)
3754,REEMPLAZO O REPARACIÓN DE OTRO COMPONENTE IMPLANTABLE DEL SISTEMA DE REEMPLAZO CARDÍACO TOTAL
3755,RETIRO DE SISTEMA INTERNO BIVENTRICULAR DE REEMPLAZO CARDÍACO
376,IMPLANTE DE SISTEMA(S) DE ASISTENCIA CARDIACA Y CIRCULATORIA
3760,IMPLANTACIÓN O INSERCIÓN DE UN SISTEMA EXTERNO BIVENTRICULAR DE ASISTENCIA CARDÍACA
3761,IMPLANTE DE BALÓN CONTRAPULSACIÓN
3762,INSERCIÓN DE DISPOSITIVO DE ASISTENCIA CIRCULATORIA EXTRACORPÓREA TEMPORAL NO IMPLANTABLE
3763,REPARACIÓN DE SISTEMA DE ASISTENCIA CARDIACA
3764,EXTRACCIÓN DE SISTEMA(S) O DISPOSITIVO(S) EXTERNO DE ASISTENCIA CARDÍACA
3765,IMPLANTACIÓN DE SISTEMA DE ASISTENCIA CARDIACA EXTERNA DE UN SOLO VENTRÍCULO [EXTRACORPOREO]
3766,INSERCIÓN DE SISTEMA IMPLANTABLE DE ASISTENCIA CARDIACA
3767,IMPLANTACIÓN DE SISTEMA DE CARDIOMIOESTIMULACIÓN
3768,INSERCIÓN DE DISPOSITIVO DE ASISTENCIA CARDÍACA EXTERNO PERCUTÁNEO
377,"INSERCIÓN, REVISIÓN, SUSTITUCIÓN Y ELIMINACIÓN DE ELECTRODOS; INSERCIÓN DE SISTEMA DE MARCAPASOS TEMPORAL O REVISIÓN DE BOLSA DE DISPOSITIVO CARDIACO"
3770,INSERCIÓN INICIAL DE ELECTRODO NO ESPECIFICADO DE OTRA MANERA
3771,INSERCIÓN INICIAL DE ELECTRODO TRANSVENOSO EN VENTRÍCULO
3772,INSERCIÓN INICIAL DE ELECTRODO TRANSVENOSO EN AURICULA Y VENTRÍCULO
3773,INSERCIÓN INICIAL DE ELECTRODO TRANSVENOSO EN AURÍCULA
3774,INSERCIÓN O SUSTITUCIÓN DE ELECTRODO EPICÁRDICO
3775,REVISIÓN DE CABLE (ELECTRODO)
3776,SUSTITUCIÓN DE ELECTRODO TRANSVENOSO EN AURÍCULA Y VENTRÍCULO
3777,EXTRACCIÓN DE ELECTRODO SIN SUSTITUCIÓN
3778,INSERCIÓN DE UN SISTEMA DE MARCAPASOS TRANSVENOSO TEMPORAL
3779,REVISIÓN O REUBICACIÓN DE BOLSA DE DISPOSITIVO CARDIACO
378,"INSERCIÓN, SUSTITUCIÓN, EXTRACCIÓN Y REVISIÓN DE DISPOSITIVO MARCAPASOS"
3780,"INSERCIÓN DE MARCAPASOS PERMANENTE, INICIAL O SUSTITUÍDO, SIN ESPECIFICAR TIPO DE APARATO"
3781,"INSERCIÓN INICIAL DE UN DISPOSITIVO DE CÁMARA ÚNICA, NO ESPECIFICADO COMO RESPUESTA EN FRECUENCIA"
3782,"INSERCIÓN INICIAL DE UN APARATO DE CÁMARA ÚNICA, CON RESPUESTA EN FRECUENCIA"
3783,INSERCIÓN INICIAL DE DISPOSITIVO DE DOBLE CÁMARA
3785,"SUSTITUCIÓN DE CUALQUIER TIPO DE MARCAPASOS CON APARATO DE CÁMARA ÚNICA, NO ESPECIFICADO COMO RESPUESTA EN FRECUENCIA"
3786,"SUSTITUCIÓN DE CUALQUIER TIPO DE MARCAPASOS CON APARATO DE CÁMARA ÚNICA, CON RESPUESTA EN FRECUENCIA"
3787,SUSTITUCIÓN DE CUALQUIER TIPO DE MARCAPASOS CON DISPOSITIVO DE CÁMARA DOBLE
3789,REVISIÓN O EXTRACCIÓN DE MARCAPASOS CARDÍACO
379,OTRAS OPERACIONES SOBRE CORAZÓN Y PERICARDIO
3790,INSERCIÓN DE DISPOSITIVO ACCESORIO AURICULAR IZQUIERDO
3791,MASAJE CARDÍACO A TÓRAX ABIERTO
3792,INYECCIÓN DE SUSTANCIA TERAPÉUTICA EN CORAZÓN
3793,INYECCIÓN DE SUSTANCIA TERAPÉUTICA EN PERICARDIO
3794,"IMPLANTACIÓN O SUSTITUCIÓN DE CARDIOVERSOR/DESFIBRILADOR AUTOMÁTICO, SISTEMA TOTAL [AICD] SISTEMA TOTAL"
3795,"IMPLANTE DE CARDIOVERSOR/DESFIBRILADOR AUTOMÁTICO, SÓLO ELECTRODOS"
3796,"IMPLANTACIÓN DE CARDIOVERSOR/DESFIBRILADOR AUTOMÁTICO, SÓLO GENERADOR DE PULSO"
3797,"SUSTITUCIÓN DE CARDIOVERSOR/DESFIBRILADOR AUTOMÁTICO, SÓLO CABLE(S)"
3798,"SUSTITUCIÓN DE CARDIOVERSOR/DESFIBRILADOR AUTOMÁTICO, SÓLO GENERADOR DE PULSO"
3799,OTRA OPERACIÓN SOBRE CORAZÓN Y PERICARDIO
38,"INCISIÓN, EXCISIÓN Y OCLUSIÓN DE VASOS"
380,INCISIÓN DE VASO
3800,"INCISIÓN DE VASO, SITIO NO ESPECIFICADO"
3801,"INCISIÓN, VASOS INTRACRANEALES"
3802,"INCISIÓN, OTROS VASOS DE CABEZA Y CUELLO"
3803,"INCISIÓN, VASOS DE MIEMBROS SUPERIORES"
3804,"INCISIÓN, AORTA"
3805,"INCISIÓN, OTROS VASOS TORÁCICOS"
3806,"INCISIÓN, ARTERIAS ABDOMINALES"
3807,"INCISIÓN, VENAS ABDOMINALES"
3808,"INCISIÓN, ARTERIAS DE MIEMBROS INFERIORES"
3809,INCISIÓN DE VENAS DE MIEMBROS INFERIORES
381,ENDARTERECTOMÍA
3810,"ENDARTERECTOMÍA, SITIO NO ESPECIFICADO"
3811,"ENDARTERECTOMÍA, VASOS INTRACRANEALES"
3812,"ENDARTERECTOMÍA, OTROS VASOS DE CABEZA Y CUELLO"
3813,"ENDARTERECTOMÍA, VASOS DE MIEMBROS SUPERIORES"
3814,"ENDARTERECTOMÍA, AORTA"
3815,"ENDARTERECTOMÍA, OTROS VASOS TORÁCICOS"
3816,"ENDARTERECTOMÍA, ARTERIAS ABDOMINALES"
3818,"ENDARTERECTOMÍA, ARTERIAS DE MIEMBROS INFERIORES"
382,PROCEDIMIENTOS DIAGNÓSTICOS SOBRE VASOS SANGUÍNEOS
3821,BIOPSIA DE VASO SANGUÍNEO
3822,ANGIOSCOPIA PERCUTÁNEA
3823,ESPECTROSCOPÍA INTRAVASCULAR
3829,OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE VASOS SANGUÍNEOS
383,RESECCIÓN DE VASO CON ANASTOMOSIS
3830,"RESECCIÓN DE VASO CON ANASTOMOSIS, SITIO NO ESPECIFICADO"
3831,"RESECCIÓN DE VASO CON ANASTOMOSIS, VASOS INTRACRANEALES"
3832,"RESECCIÓN DE VASO CON ANASTOMOSIS, OTROS VASOS DE CABEZA Y CUELLO"
3833,"RESECCIÓN DE VASO CON ANASTOMOSIS, VASOS DE MIEMBROS SUPERIORES"
3834,"RESECCIÓN DE VASO CON ANASTOMOSIS, AORTA"
3835,"RESECCIÓN DE VASO CON ANASTOMOSIS, OTROS VASOS TORÁCICOS"
3836,"RESECCIÓN DE VASO CON ANASTOMOSIS, ARTERIAS ABDOMINALES"
3837,"RESECCIÓN DE VASO CON ANASTOMOSIS, VENAS ABDOMINALES"
3838,"RESECCIÓN DE VASO CON ANASTOMOSIS, ARTERIAS DE MIEMBROS INFERIORES"
3839,"RESECCIÓN DE VASO CON ANASTOMOSIS DE VENAS, MIEMBROS INFERIORES"
384,RESECCIÓN DE VASO CON SUSTITUCIÓN
3840,"RESECCIÓN DE VASO CON SUSTITUCIÓN, SITIO NO ESPECIFICADO"
3841,"RESECCIÓN DE VASO CON SUSTITUCIÓN, VASOS INTRACRANEALES"
3842,"RESECCIÓN DE VASO CON SUSTITUCIÓN, OTROS VASOS DE CABEZA Y CUELLO"
3843,"RESECCIÓN DE VASO CON SUSTITUCIÓN DE VASOS, MIEMBROS SUPERIORES"
3844,"RESECCIÓN DE VASO CON SUSTITUCIÓN, AORTA ABDOMINAL"
3845,"RESECCIÓN DE VASO CON SUSTITUCIÓN, VASOS TORÁCICOS"
3846,"RESECCIÓN DE VASO CON SUSTITUCIÓN, ARTERIAS ABDOMINALES"
3847,"RESECCIÓN DE VASO CON SUSTITUCIÓN, VENAS ABDOMINALES"
3848,"RESECCIÓN DE VASO CON SUSTITUCIÓN, ARTERIAS DE MIEMBROS INFERIORES"
3849,"RESECCIÓN DE VASO CON SUSTITUCIÓN, VENAS DE MIEMBROS INFERIORES"
385,LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS
3850,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, SITIO NO ESPECIFICADO"
3851,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, VASOS INTRACRANEALES"
3852,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, OTROS VASOS DE CABEZA Y CUELLO"
3853,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, VASOS DE MIEMBROS SUPERIORES"
3855,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, OTROS VASOS TORÁCICOS"
3857,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, VENAS ABDOMINALES"
3859,"LIGADURA Y EXTIRPACIÓN DE VENAS VARICOSAS, VENAS DE MIEMBROS INFERIORES"
386,OTRA EXCISIÓN DE VASOS
3860,"OTRA EXCISIÓN DE VASOS, SITIO NO ESPECIFICADO"
3861,"OTRA EXCISIÓN DE VASOS, VASOS INTRACRANEALES"
3862,"OTRA EXCISIÓN DE VASO, OTROS VASOS DE CABEZA Y CUELLO"
3863,"OTRA EXCISIÓN DE VASOS, VASOS DE MIEMBROS SUPERIORES"
3864,"OTRA EXCISIÓN DE VASOS, AORTA"
3865,"OTRA EXCISIÓN DE VASOS, OTROS VASOS TORÁCICOS"
3866,"OTRA EXCISIÓN DE VASOS, ARTERIAS ABDOMINALES"
3867,"OTRA EXCISIÓN DE VASOS, VENAS ABDOMINALES"
3868,"OTRA EXCISIÓN DE VASOS, ARTERIAS DE MIEMBROS INFERIORES"
3869,"OTRA EXCISIÓN DE VASOS, VENAS DE MIEMBROS INFERIORES"
387,INTERRUPCIÓN DE VENA CAVA
387X,INTERRUPCIÓN DE VENA CAVA
388,OTRA OCLUSIÓN QUIRÚRGICA DE VASOS
3880,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, SITIO NO ESPECIFICADO"
3881,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, VASOS INTRACRANEALES"
3882,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, OTROS VASOS DE CABEZA Y CUELLO"
3883,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, VASOS DE MIEMBROS SUPERIORES"
3884,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, AORTA"
3885,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, OTROS VASOS TORÁCICOS"
3886,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, ARTERIAS ABDOMINALES"
3887,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, VENAS ABDOMINALES"
3888,"OTRA OCLUSIÓN QUIRÚRGICA DE VASOS, ARTERIAS DE MIEMBROS INFERIORES"
3889,"OTRA OCLUSIÓN QUÍRURGICA DE VASOS., VENAS DE MIEMBROS INFERIORES"
389,PUNCIÓN DE VASO
3891,CATETERISMO ARTERIAL
3892,CATETERISMO DE VENA UMBILICAL
3893,"CATETERISMO VENOSO, NO CLASIFICADO BAJO OTRO CONCEPTO"
3894,DISECCIÓN VENOSA
3895,CATETERISMO VENOSO PARA DIÁLISIS RENAL
3898,OTRA PUNCIÓN DE ARTERIA
3899,OTRA PUNCIÓN DE VENA
39,OTRAS OPERACIONES SOBRE VASOS
390,DERIVACIÓN SISTÉMICA A ARTERIA PULMONAR
390X,DERIVACIÓN SISTÉMICA A ARTERIA PULMONAR
391,DERIVACIÓN VENOSA INTRAABDOMINAL
391X,DERIVACIÓN VENOSA INTRAABDOMINAL
392,OTRA DERIVACIÓN O DESVIACIÓN VASCULAR
3921,ANASTOMOSIS DE VENA CAVA-ARTERIA PULMONAR
3922,DESVIACIÓN AORTA-SUBCLAVIA-CAROTÍDEA
3923,OTRA DERIVACIÓN O DESVIACIÓN VASCULAR INTRATORÁCICA
3924,DERIVACIÓN AORTA-RENAL
3925,DERIVACIÓN AORTA-ILIACA-FEMORAL
3926,OTRAS DERIVACIONES O DESVIACIONES VASCULARES INTRAABDOMINALES
3927,ARTERIOVENOSTOMÍA PARA DIÁLISIS RENAL
3928,DERIVACIÓN VASCULAR EXTRACRANEAL-INTRACRANEAL (EC-IC)
3929,OTRA DERIVACIÓN O DESVIACIÓN VASCULAR (PERIFÉRICA)
393,SUTURA DE VASO
3930,SUTURA DE VASO SANGUÍNEO NO ESPECIFICADO
3931,SUTURA DE ARTERIA
3932,SUTURA DE VENA
394,REVISIÓN DE PROCEDIMIENTO VASCULAR
3941,CONTROL DE HEMORRAGIA DESPUÉS DE CIRUGÍA VASCULAR
3942,REVISIÓN DE DERIVACIÓN ARTERIOVENOSA PARA DIÁLISIS RENAL
3943,EXTRACCIÓN DE DERIVACIÓN ARTERIOVENOSA PARA DIÁLISIS RENAL
3949,OTRA REVISIÓN DE PROCEDIMIENTO VASCULAR
395,OTRA REPARACIÓN DE VASOS
3950,ANGIOPLASTÍA O ATERECTOMÍA DE OTRO(S) VASO(S) NO CORONARIO(S)
3951,INTERRUPCIÓN DE ANEURISMA
3952,OTRA REPARACIÓN DE ANEURISMA
3953,REPARACIÓN DE FÍSTULA ARTERIOVENOSA
3954,OPERACIÓN DE RE-ENTRADA (AORTA)
3955,REIMPLANTACIÓN DE VASO RENAL ABERRANTE
3956,REPARACIÓN DE VASO SANGUÍNEO CON INJERTO DE PARCHE DE TEJIDO
3957,REPARACIÓN DE VASO SANGUÍNEO CON INJERTO DE PARCHE SINTÉTICO
3958,REPARACIÓN DE VASO SANGUÍNEO CON TIPO DE INJERTO DE PARCHE NO ESPECIFICADO
3959,OTRAS OPERACIONES DE VASO
396,CIRCULACIÓN EXTRACORPÓREA Y PROCEDIMIENTOS AUXILIARES DE CIRUGÍA CARDIACA
3961,CIRCULACIÓN EXTRACORPÓREA AUXILIAR PARA CIRUGÍA CARDÍACA ABIERTA
