CATALOG_KEY,NOMBRE,ES_SUIVE_EST_EPI
C340,TUMOR MALIGNO DEL BRONQUIO PRINCIPAL,NO
C341,"TUMOR MALIGNO DEL LÓBULO SUPERIOR, BRONQUIO O PULMÓN",NO
C342,"TUMOR MALIGNO DEL LÓBULO MEDIO, BRONQUIO O PULMÓN",NO
C343,"TUMOR MALIGNO DEL LÓBULO INFERIOR, BRONQUIO O PULMÓN",NO
C348,LESIÓN DE SITIOS CONTIGUOS DE LOS BRONQUIOS Y DEL PULMÓN,NO
C349,"TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMÓN, PARTE NO ESPECIFICADA",NO
C37X,TUMOR MALIGNO DEL TIMO,NO
C38,"TUMOR MALIGNO DEL CORAZÓN, DEL MEDIASTINO Y DE LA PLEURA",NO
C380,TUMOR MALIGNO DEL CORAZÓN,NO
C381,TUMOR MALIGNO DEL MEDIASTINO ANTERIOR,NO
C382,TUMOR MALIGNO DEL MEDIASTINO POSTERIOR,NO
C383,"TUMOR MALIGNO DEL MEDIASTINO, PARTE NO ESPECIFICADA",NO
C384,TUMOR MALIGNO DE LA PLEURA,NO
C388,"LESIÓN DE SITOS CONTIGUOS DEL CORAZÓN, DEL MEDIASTINO Y DE LA PLEURA",NO
C39,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO Y DE LOS ÓRGANOS INTRATORÁCICOS,NO
C390,"TUMOR MALIGNO DE LA VÍAS RESPIRATORIA SUPERIORES, PARTE NO ESPECIFICADA",NO
C398,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS RESPIRATORIOS E INTRATORÁCICOS,NO
C399,TUMOR MALIGNO DE SITIOS MAL DEFINIDOS DEL SISTEMA RESPIRATORIO,NO
C40,TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS,NO
C400,TUMOR MALIGNO DEL OMÓPLATO Y DE LOS HUESOS LARGOS DEL MIEMBRO SUPERIOR,NO
C401,TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO SUPERIOR,NO
C402,TUMOR MALIGNO DE LOS HUESOS LARGOS DEL MIEMBRO INFERIOR,NO
C403,TUMOR MALIGNO DE LOS HUESOS CORTOS DEL MIEMBRO INFERIOR,NO
C408,LESIÓN DE SITIOS CONTIGUOS DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS,NO
C409,"TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES DE LOS MIEMBROS, SIN OTRA ESPECIFICACIÓN",NO
C41,"TUMOR MALIGNO DE LOS HUESOS Y DE LOS CARTÍLAGOS ARTICULARES, DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS",NO
C410,TUMOR MALIGNO DE LOS HUESOS DEL CRÁNEO Y DE LA CARA,NO
C411,TUMOR MALIGNO DEL HUESO DEL MAXILAR INFERIOR,NO
C412,TUMOR MALIGNO DE LA COLUMNA VERTEBRAL,NO
C413,"TUMOR MALIGNO DE LA COSTILLA, ESTERNÓN Y CLAVÍCULA",NO
C414,"TUMOR MALIGNO DE LOS HUESOS DE LA PELVIS, SACRO Y CÓCCIX",NO
C418,LESIÓN DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTÍLAGO ARTICULAR,NO
C419,"TUMOR MALIGNO DEL HUESO Y DEL CARTÍLAGO ARTICULAR, NO ESPECIFICADO",NO
C43,MELANOMA MALIGNO DE LA PIEL,NO
C430,MELANOMA MALIGNO DEL LABIO,NO
C431,"MELANOMA MALIGNO DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL",NO
C432,MELANOMA MALIGNO DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO,NO
C433,MELANOMA MALIGNO DE LAS OTRAS PARTES Y LAS NO ESPECIFICADAS DE LA CARA,NO
C434,MELANOMA MALIGNO DEL CUERO CABELLUDO Y DEL CUELLO,NO
C435,MELANOMA MALIGNO DEL TRONCO,NO
C436,"MELANOMA MALIGNO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",NO
C437,"MELANOMA MALIGNO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",NO
C438,MELANOMA MALIGNO DE SITIOS CONTIGUOS DE LA PIEL,NO
C439,"MELANOMA MALIGNO DE PIEL, SITIO NO ESPECIFICADO",NO
C44,OTROS TUMORES MALIGNOS DE LA PIEL,NO
C440,TUMOR MALIGNO DE LA PIEL DEL LABIO,NO
C441,"TUMOR MALIGNO DE LA PIEL DEL PÁRPADO, INCLUIDA LA COMISURA PALPEBRAL",NO
C442,TUMOR MALIGNO DE LA PIEL DE LA OREJA Y DEL CONDUCTO AUDITIVO EXTERNO,NO
C443,TUMOR MALIGNO DE LA PIEL DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA CARA,NO
C444,TUMOR MALIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO,NO
C445,TUMOR MALIGNO DE LA PIEL DEL TRONCO,NO
C446,"TUMOR MALIGNO DE LA PIEL DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",NO
C447,"TUMOR MALIGNO DE LA PIEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",NO
C448,LESIÓN DE SITIOS CONTIGUOS DE LA PIEL,NO
C449,"TUMOR MALIGNO DE LA PIEL, SITIO NO ESPECIFICADO",NO
C45,MESOTELIOMA,NO
C450,MESOTELIOMA DE LA PLEURA,NO
C451,MESOTELIOMA DEL PERITONEO,NO
C452,MESOTELIOMA DEL PERICARDIO,NO
C457,MESOTELIOMA DE OTROS SITIOS ESPECIFICADOS,NO
C459,"MESOTELIOMA, DE SITIO NO ESPECIFICADO",NO
C46,SARCOMA DE KAPOSI,NO
C460,SARCOMA DE KAPOSI DE LA PIEL,NO
C461,SARCOMA DE KAPOSI DEL TEJIDO BLANDO,NO
C462,SARCOMA DE KAPOSI DEL PALADAR,NO
C463,SARCOMA DE KAPOSI DE LOS GANGLIOS LINFÁTICOS,NO
C467,SARCOMA DE KAPOSI DE OTROS SITIOS ESPECIFICADOS,NO
C468,SARCOMA DE KAPOSI DE MÚLTIPLES ÓRGANOS,NO
C469,SARCOMA DE KAPOSI DE SITIO NO ESPECIFICADO,NO
C47,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS Y DEL SISTEMA NERVIOSO AUTÓNOMO,NO
C470,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DE LA CABEZA, CARA Y CUELLO",NO
C471,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",NO
C472,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",NO
C473,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL TÓRAX,NO
C474,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL ABDOMEN,NO
C475,TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DE LA PELVIS,NO
C476,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS DEL TRONCO, SIN OTRA ESPECIFICACIÓN",NO
C478,LESIÓN DE SITIOS CONTIGUOS DE LOS NERVIOS PERIFÉRICOS Y DEL SISTEMA NERVIOSO AUTÓNOMO,NO
C479,"TUMOR MALIGNO DE LOS NERVIOS PERIFÉRICOS Y DEL SISTEMA NERVIOSO AUTÓNOMO, PARTE NO ESPECIFICADA",NO
C48,TUMOR MALIGNO DEL PERITONEO Y DEL RETROPERITONEO,NO
C480,TUMOR MALIGNO DEL RETROPERITONEO,NO
C481,TUMOR MALIGNO DE PARTE ESPECIFICADA DEL PERITONEO,NO
C482,"TUMOR MALIGNO DEL PERITONEO, SIN OTRA ESPECIFICACIÓN",NO
C488,LESIÓN DE SITIOS CONTIGUOS DEL PERITONEO Y DEL RETROPERITONEO,NO
C49,TUMOR MALIGNO DE OTROS TEJIDOS CONJUNTIVOS Y DE TEJIDOS BLANDOS,NO
C490,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO",NO
C491,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO SUPERIOR, INCLUIDO EL HOMBRO",NO
C492,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL MIEMBRO INFERIOR, INCLUIDA LA CADERA",NO
C493,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TÓRAX,NO
C494,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL ABDOMEN,NO
C495,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA PELVIS,NO
C496,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DEL TRONCO, SIN OTRA ESPECIFICACIÓN",NO
C498,LESIÓN DE SITIOS CONTIGUOS DEL TEJIDO CONJUNTIVO Y DEL TEJIDO BLANDO,NO
C499,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO, DE SITIO NO ESPECIFICADO",NO
C50,TUMOR MALIGNO DE LA MAMA,NO
C500,TUMOR MALIGNO DEL PEZÓN Y ARÉOLA MAMARIA,NO
C501,TUMOR MALIGNO DE LA PORCIÓN CENTRAL DE LA MAMA,NO
C502,TUMOR MALIGNO DEL CUADRANTE SUPERIOR INTERNO DE LA MAMA,NO
C503,TUMOR MALIGNO DEL CUADRANTE INFERIOR INTERNO DE LA MAMA,NO
C504,TUMOR MALIGNO DEL CUADRANTE SUPERIOR EXTERNO DE LA MAMA,NO
C505,TUMOR MALIGNO DEL CUADRANTE INFERIOR EXTERNO DE LA MAMA,NO
C506,TUMOR MALIGNO DE LA PROLONGACIÓN AXILAR DE LA MAMA,NO
C508,LESIÓN DE SITIOS CONTIGUOS DE LA MAMA,NO
C509,"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPECIFICADA",NO
C51,TUMOR MALIGNO DE LA VULVA,NO
C510,TUMOR MALIGNO DEL LABIO MAYOR,NO
C511,TUMOR MALIGNO DEL LABIO MENOR,NO
C512,TUMOR MALIGNO DEL CLÍTORIS,NO
C518,LESIÓN DE SITIOS CONTIGUOS DE LA VULVA,NO
C519,"TUMOR MALIGNO DE LA VULVA, PARTE NO ESPECIFICADA",NO
C52X,TUMOR MALIGNO DE LA VAGINA,NO
C53,TUMOR MALIGNO DEL CUELLO DEL ÚTERO,SI
C530,TUMOR MALIGNO DEL ENDOCÉRVIX,SI
C531,TUMOR MALIGNO DEL EXOCÉRVIX,SI
C538,LESIÓN DE SITIOS CONTIGUOS DEL CUELLO DEL ÚTERO,SI
C539,"TUMOR MALIGNO DEL CUELLO DEL ÚTERO, SIN OTRA ESPECIFICACIÓN",SI
C54,TUMOR MALIGNO DEL CUERPO DEL ÚTERO,NO
C540,TUMOR MALIGNO DEL ISTMO UTERINO,NO
C541,TUMOR MALIGNO DEL ENDOMETRIO,NO
C542,TUMOR MALIGNO DEL MIOMETRIO,NO
C543,TUMOR MALIGNO DEL FONDO DEL ÚTERO,NO
C548,LESIÓN DE SITIOS CONTIGUOS DEL CUERPO DEL ÚTERO,NO
C549,"TUMOR MALIGNO DEL CUERPO DEL ÚTERO, PARTE NO ESPECIFICADA",NO
C55X,"TUMOR MALIGNO DEL ÚTERO, PARTE NO ESPECIFICADA",NO
C56X,TUMOR MALIGNO DEL OVARIO,NO
C57,TUMOR MALIGNO DE OTROS ÓRGANOS GENITALES FEMENINOS Y DE LOS NO ESPECIFICADOS,NO
C570,TUMOR MALIGNO DE LA TROMPA DE FALOPIO,NO
C571,TUMOR MALIGNO DEL LIGAMENTO ANCHO,NO
C572,TUMOR MALIGNO DEL LIGAMENTO REDONDO,NO
C573,TUMOR MALIGNO DEL PARAMETRIO,NO
C574,"TUMOR MALIGNO DE LOS ANEXOS UTERINOS, SIN OTRA ESPECIFICACIÓN",NO
C577,TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ÓRGANOS GENITALES FEMENINOS,NO
C578,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS GENITALES FEMENINOS,NO
C579,"TUMOR MALIGNO DE ÓRGANO GENITAL FEMENINO, PARTE NO ESPECIFICADA",NO
C58X,TUMOR MALIGNO DE LA PLACENTA,NO
C60,TUMOR MALIGNO DEL PENE,NO
C600,TUMOR MALIGNO DEL PREPUCIO,NO
C601,TUMOR MALIGNO DEL GLANDE,NO
C602,TUMOR MALIGNO DEL CUERPO DEL PENE,NO
C608,LESIÓN DE SITIOS CONTIGUOS DEL PENE,NO
C609,"TUMOR MALIGNO DEL PENE, PARTE NO ESPECIFICADA",NO
C61X,TUMOR MALIGNO DE LA PRÓSTATA,NO
C62,TUMOR MALIGNO DEL TESTÍCULO,NO
C620,TUMOR MALIGNO DEL TESTÍCULO NO DESCENDIDO,NO
C621,TUMOR MALIGNO DEL TESTÍCULO DESCENDIDO,NO
C629,"TUMOR MALIGNO DEL TESTÍCULO, NO ESPECIFICADO",NO
C63,TUMOR MALIGNO DE OTROS ÓRGANOS GENITALES MACULINOS Y DE LOS NO ESPECIFICADOS,NO
C630,TUMOR MALIGNO DEL EPIDÍDIMO,NO
C631,TUMOR MALIGNO DEL CORDÓN ESPERMÁTICO,NO
C632,TUMOR MALIGNO DEL ESCROTO,NO
C637,TUMOR MALIGNO DE OTRAS PARTES ESPECIFICADAS DE LOS ÓRGANOS GENITALES MASCULINOS,NO
C638,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS GENITALES MASCULINOS,NO
C639,"TUMOR MALIGNO DE ÓRGANO GENITAL MASCULINO, PARTE NO ESPECIFICADA",NO
C64X,"TUMOR MALIGNO DEL RIÑÓN, EXCEPTO DE LA PELVIS RENAL",NO
C65X,TUMOR MALIGNO DE LA PELVIS RENAL,NO
C66X,TUMOR MALIGNO DEL URÉTER,NO
C67,TUMOR MALIGNO DE LA VEJIGA URINARIA,NO
C670,TUMOR MALIGNO DEL TRÍGONO VESICAL,NO
C671,TUMOR MALIGNO DE LA CÚPULA VESICAL,NO
C672,TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA,NO
C673,TUMOR MALIGNO DE LA PARED ANTERIOR DE LA VEJIGA,NO
C674,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA,NO
C675,TUMOR MALIGNO DEL CUELLO DE LA VEJIGA,NO
C676,TUMOR MALIGNO DEL ORIFICIO URETERAL,NO
C677,TUMOR MALIGNO DEL URACO,NO
C678,LESIÓN DE SITIOS CONTIGUOS DE LA VEJIGA,NO
C679,"TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA",NO
C68,TUMOR MALIGNO DE OTROS ÓGANOS URINARIOS Y DE LOS NO ESPECIFICADOS,NO
C680,TUMOR MALIGNO DE LA URETRA,NO
C681,TUMOR MALIGNO DE LAS GLÁNDULAS PARAURETRALES,NO
C688,LESIÓN DE SITIOS CONTIGUOS DE LOS ÓRGANOS URINARIOS,NO
C689,TUMOR MALIGNO DE ÓRGANO URINARIO NO ESPECIFICADO,NO
C69,TUMOR MALIGNO DEL OJO Y SUS ANEXOS,NO
C690,TUMOR MALIGNO DE LA CONJUNTIVA,NO
C691,TUMOR MALIGNO DE LA CÓRNEA,NO
C692,TUMOR MALIGNO DE LA RETINA,NO
C693,TUMOR MALIGNO DE LA COROIDES,NO
C694,TUMOR MALIGNO DEL CUERPO CILIAR,NO
C695,TUMOR MALIGNO DE LA GLÁNDULA Y CONDUCTO LAGRIMALES,NO
C696,TUMOR MALIGNO DE LA ÓRBITA,NO
C698,LESIÓN DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS,NO
C699,"TUMOR MALIGNO DEL OJO, PARTE NO ESPECIFICADA",NO
C70,TUMOR MALIGNO DE LAS MENINGES,NO
C700,TUMOR MALIGNO DE LAS MENINGES CEREBRALES,NO
C701,TUMOR MALIGNO DE LAS MENINGES RAQUÍDEAS,NO
C709,"TUMOR MALIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA",NO
C71,TUMOR MALIGNO DEL ENCÉFALO,NO
C710,"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LÓBULOS Y VENTRÍCULOS",NO
C711,TUMOR MALIGNO DEL LÓBULO FRONTAL,NO
C712,TUMOR MALIGNO DEL LÓBULO TEMPORAL,NO
C713,TUMOR MALIGNO DEL LÓBULO PARIETAL,NO
C714,TUMOR MALIGNO DEL LÓBULO OCCIPITAL,NO
C715,TUMOR MALIGNO DEL VENTRÍCULO CEREBRAL,NO
C716,TUMOR MALIGNO DEL CEREBELO,NO
C717,TUMOR MALIGNO DEL PEDÚNCULO CEREBRAL,NO
C718,LESIÓN DE SITIOS CONTIGUOS DEL ENCÉFALO,NO
C719,"TUMOR MALIGNO DEL ENCÉFALO, PARTE NO ESPECIFICADA",NO
C72,"TUMOR MALIGNO DE LA MÉDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL",NO
C720,TUMOR MALIGNO DE LA MÉDULA ESPINAL,NO
C721,TUMOR MALIGNO DE LA COLA DE CABALLO,NO
C722,TUMOR MALIGNO DEL NERVIO OLFATORIO,NO
C723,TUMOR MALIGNO DEL NERVIO ÓPTICO,NO
C724,TUMOR MALIGNO DEL NERVIO ACÚSTICO,NO
C725,TUMOR MALIGNO DE OTROS NERVIOS CRANEALES Y LOS NO ESPECIFICADOS,NO
C728,LESIÓN DE SITIOS CONTIGUOS DEL ENCÉFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL,NO
C729,"TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACIÓN",NO
C73X,TUMOR MALIGNO DE LA GLÁNDULA TIROIDES,NO
C74,TUMOR MALIGNO DE LA GLÁNDULA SUPRARRENAL,NO
C740,TUMOR MALIGNO DE LA CORTEZA DE LA GLÁNDULA SUPRARRENAL,NO
C741,TUMOR MALIGNO DE LA MÉDULA DE LA GLÁNDULA SUPRARRENAL,NO
C749,"TUMOR MALIGNO DE LA GLÁNDULA SUPRARRENAL, PARTE NO ESPECIFICADA",NO
C75,TUMOR MALIGNO DE OTRAS GLÁNDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES,NO
C750,TUMOR MALIGNO DE LA GLÁNDULA PARATIROIDES,NO
C751,TUMOR MALIGNO DE LA HIPÓFISIS,NO
C752,TUMOR MALIGNO DEL CONDUCTO CRANEOFARÍNGEO,NO
C753,TUMOR MALIGNO DE LA GLÁNDULA PINEAL,NO
C754,TUMOR MALIGNO DEL CUERPO CAROTÍDEO,NO
C755,TUMOR MALIGNO DEL CUERPO AÓRTICO Y OTROS CUERPOS CROMAFINES,NO
C758,"TUMOR MALIGNO PLURIGLANDULAR, NO ESPECIFICADO",NO
C759,TUMOR MALIGNO DE GLÁNDULA ENDOCRINA NO ESPECIFICADA,NO
C76,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS,NO
C760,"TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO",NO
C761,TUMOR MALIGNO DEL TÓRAX,NO
C762,TUMOR MALIGNO DEL ABDOMEN,NO
C763,TUMOR MALIGNO DE LA PELVIS,NO
C764,TUMOR MALIGNO DEL MIEMBRO SUPERIOR,NO
C765,TUMOR MALIGNO DEL MIEMBRO INFERIOR,NO
C767,TUMOR MALIGNO DE OTROS SITIOS MAL DEFINIDOS,NO
C768,LESIÓN DE SITIOS CONTIGUOS MAL DEFINIDOS,NO
C77,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFÁTICOS,NO
C770,"TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA CABEZA, CARA Y CUELLO",NO
C771,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS INTRATORÁCICOS,NO
C772,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS INTRAABDOMINALES,NO
C773,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA AXILA Y DEL MIEMBRO SUPERIOR,NO
C774,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA REGIÓN INGUINAL Y DEL MIEMBRO INFERIOR,NO
C775,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE LA PELVIS,NO
C778,TUMOR MALIGNO DE LOS GANGLIOS LINFÁTICOS DE REGIONES MÚLTIPLES,NO
C779,"TUMOR MALIGNO DEL GANGLIO LINFÁTICO, SITIO NO ESPECIFICADO",NO
C78,TUMOR MALIGNO SECUNDARIO DE LOS ÓRGANOS RESPIRATORIOS Y DIGESTIVOS,NO
C780,TUMOR MALIGNO SECUNDARIO DEL PULMÓN,NO
C781,TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO,NO
C782,TUMOR MALIGNO SECUNDARIO DE LA PLEURA,NO
C783,TUMOR MALIGNO SECUNDARIO DE OTROS ÓRGANOS RESPIRATORIOS Y DE LOS NO ESPECIFICADOS,NO
C784,TUMOR MALIGNO SECUNDARIO DEL INTESTINO DELGADO,NO
C785,TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO,NO
C786,TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO,NO
C787,TUMOR MALIGNO SECUNDARIO DEL HÍGADO Y DE LOS CONDUCTOS BILIARES INTRAHEPÁTICOS,NO
C788,TUMOR MALIGNO SECUNDARIO DE OTROS ÓRGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS,NO
C79,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS,NO
C790,TUMOR MALIGNO SECUNDARIO DEL RIÑÓN Y DE LA PELVIS RENAL,NO
C791,"TUMOR MALIGNO SECUNDARIO DE LA VEJIGA, Y DE OTROS ÓRGANOS Y LOS NO ESPECIFICADOS DE LAS VÍAS URINARIAS",NO
C792,TUMOR MALIGNO SECUNDARIO DE LA PIEL,NO
C793,TUMOR MALIGNO SECUNDARIO DEL ENCÉFALO Y DE LAS MENINGES CEREBRALES,NO
C794,TUMOR MALIGNO SECUNDARIO DE OTRAS PARTES DEL SISTEMA NERVIOSO Y DE LAS NO ESPECIFICADAS,NO
C795,TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MÉDULA ÓSEA,NO
C796,TUMOR MALIGNO SECUNDARIO DEL OVARIO,NO
C797,TUMOR MALIGNO SECUNDARIO DE LA GLÁNDULA SUPRARRENAL,NO
C798,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS ESPECIFICADOS,NO
C799,"TUMOR MALIGNO SECUNDARIO, SITIO NO ESPECIFICADO",NO
C80,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS,NO
C800,"TUMOR MALIGNO, DE SITIO PRIMARIO DESCONOCIDO, ASÍ DESCRITO",NO
C809,"TUMOR MALIGNO, SITIO PRIMARIO NO ESPECIFICADO",NO
C80X,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS,NO
C81,LINFOMA DE HODGKIN,NO
C810,LINFOMA DE HODGKIN CON PREDOMINIO LINFOCÍTICO NODULAR,NO
C811,LINFOMA DE HODGKIN CLÁSICO CON ESCLEROSIS NODULAR,NO
C812,LINFOMA DE HODGKIN CLÁSICO CON CELULARIDAD MIXTA,NO
C813,LINFOMA DE HODGKIN CLÁSICO CON DEPLECIÓN LINFOCÍTICA,NO
C814,LINFOMA DE HODGKIN CLÁSICO RICO EN LINFOCITOS,NO
C817,OTROS LINFOMAS DE HODGKIN CLÁSICOS,NO
C819,"LINFOMA DE HODGKIN, NO ESPECIFICADO",NO
C82,LINFOMA FOLICULAR,NO
C820,LINFOMA FOLICULAR GRADO I,NO
C821,LINFOMA FOLICULAR GRADO II,NO
C822,LINFOMA FOLICULAR GRADO III NO ESPECIFICADO,NO
C823,LINFOMA FOLICULAR GRADO IIIA,NO
C824,LINFOMA FOLICULAR GRADO IIIB,NO
C825,LINFOMA CENTRO FOLICULAR DIFUSO,NO
C826,LINFOMA CENTRO FOLICULAR CUTÁNEO,NO
C827,OTROS TIPOS ESPECIFICADOS DE LINFOMA FOLICULAR,NO
C829,"LINFOMA FOLICULAR, SIN OTRA ESPECIFICACIÓN",NO
C83,LINFOMA NO FOLICULAR,NO
C830,LINFOMA DE CÉLULAS B PEQUEÑAS,NO
C831,LINFOMA DE CÉLULAS DEL MANTO,NO
C832,"LINFOMA NO HODGKIN MIXTO, DE CÉLULAS PEQUEÑAS Y GRANDES (DIFUSO)",NO
C833,LINFOMA DE CÉLULAS GRANDES B DIFUSO,NO
C834,LINFOMA NO HODGKIN INMUNOBLÁSTICO (DIFUSO),NO
C835,LINFOMA LINFOBLÁSTICO (DIFUSO),NO
C836,LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO),NO
C837,LINFOMA DE BURKITT,NO
C838,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO FOLICULAR,NO
C839,"LINFOMA NO FOLICULAR (DIFUSO), SIN OTRA ESPECIFICACIÓN",NO
C84,LINFOMA DE CÉLULAS T/NK MADURAS,NO
C840,MICOSIS FUNGOIDE,NO
C841,ENFERMEDAD DE SÉZARY,NO
C842,LINFOMA DE ZONA T,NO
C843,LINFOMA LINFOEPITELIOIDE,NO
C844,"LINFOMA PERIFÉRICO DE CÉLULAS T, NO CLASIFICADO EN OTRA PARTE",NO
C845,OTROS LINFOMAS DE CÉLULAS T/NK MADURAS,NO
C846,LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-POSITIVO,NO
C847,LINFOMA ANAPLÁSICO DE CÉLULAS GRANDES ALK-NEGATIVO,NO
C848,"LINFOMA CUTÁNEO DE CÉLULAS T, NO ESPECIFICADO",NO
C849,"LINFOMA DE CÉLULAS T/NK MADURAS, NO ESPECIFICADO",NO
C85,LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO,NO
C850,LINFOSARCOMA,NO
C851,"LINFOMA DE CÉLULAS B, SIN OTRA ESPECIFICACIÓN",NO
C852,LINFOMA MEDIASTINAL DE CÉLULAS B GRANDES (DEL TIMO),NO
C857,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN,NO
C859,"LINFOMA NO HODGKIN, NO ESPECIFICADO",NO
C86,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CÉLULAS T/NK,NO
C860,"LINFOMA EXTRANODAL DE CÉLULAS T/NK, TIPO NASAL",NO
C861,LINFOMA HEPATOESPLÉNICO DE CÉLULAS T,NO
C862,LINFOMA DE CÉLULAS T TIPO ENTEROPATÍA (INTESTINAL),NO
C863,LINFOMA DE CÉLULAS T TIPO PANICULITIS SUBCUTÁNEA,NO
C864,LINFOMA BLÁSTICO DE CÉLULAS NK,NO
C865,LINFOMA ANGIOINMUNOBLÁSTICO DE CÉLULAS T,NO
C866,TRASTORNOS LINFOPROLIFERATIVOS PRIMARIO CUTÁNEOS DE CÉLULAS T CD30-POSITIVO,NO
C88,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS,NO
C880,MACROGLOBULINEMIA DE WALDENSTRÖM,NO
C881,ENFERMEDAD DE CADENA PESADA ALFA,NO
C882,OTRAS ENFERMEDADES DE CADENA PESADA,NO
C883,ENFERMEDAD INMUNOPROLIFERATIVA DEL INTESTINO DELGADO,NO
